iter	Passed	Remaining
0	1	134
1	2	117
2	3	109
3	4	106
4	5	104
5	6	103
6	7	102
7	8	102
8	10	101
9	11	99
10	12	97
11	13	96
12	14	95
13	15	94
14	16	92
15	17	91
16	18	90
17	19	89
18	20	88
19	21	86
20	22	86
21	24	85
22	25	84
23	26	82
24	27	82
25	28	80
26	29	79
27	30	78
28	31	77
29	32	76
30	33	74
31	34	73
32	35	72
33	36	71
34	38	70
35	39	69
36	40	68
37	41	67
38	42	66
39	43	65
40	44	64
41	45	63
42	46	62
43	48	61
44	49	60
45	50	58
46	51	57
47	52	57
48	53	55
49	54	54
50	55	53
51	56	52
52	57	51
53	59	50
54	60	49
55	61	47
56	62	46
57	63	45
58	64	44
59	65	43
60	66	42
61	67	41
62	68	40
63	69	39
64	71	38
65	72	37
66	73	35
67	74	34
68	75	33
69	76	32
70	77	31
71	78	30
72	79	29
73	80	28
74	81	27
75	82	26
76	83	25
77	84	23
78	85	22
79	86	21
80	87	20
81	88	19
82	89	18
83	90	17
84	91	16
85	93	15
86	94	14
87	95	13
88	97	12
89	98	10
90	99	9
91	100	8
92	101	7
93	102	6
94	103	5
95	104	4
96	105	3
97	106	2
98	107	1
99	109	0
