iter	Passed	Remaining
0	138	138587
1	140	69883
2	141	46965
3	142	35509
4	143	28639
5	145	24051
6	148	21030
7	149	18545
8	150	16621
9	152	15076
10	153	13816
11	155	12766
12	156	11873
13	157	11104
14	158	10437
15	160	9879
16	161	9361
17	163	8894
18	164	8490
19	165	8119
20	167	7786
21	168	7478
22	169	7200
23	170	6942
24	174	6821
25	176	6599
26	177	6390
27	178	6200
28	179	6021
29	181	5853
30	182	5697
31	183	5551
32	184	5415
33	188	5365
34	190	5246
35	191	5130
36	192	5021
37	194	4917
38	195	4818
39	196	4724
40	198	4634
41	199	4550
42	203	4528
43	204	4450
44	206	4376
45	207	4303
46	208	4237
47	210	4171
48	211	4108
49	213	4048
50	214	3990
51	218	3983
52	219	3925
53	221	3872
54	222	3819
55	223	3768
56	224	3720
57	226	3672
58	227	3626
59	228	3581
60	232	3575
61	233	3535
62	234	3494
63	236	3456
64	237	3418
65	238	3380
66	240	3345
67	241	3313
68	243	3286
69	248	3298
70	249	3262
71	250	3228
72	251	3196
73	253	3166
74	254	3136
75	255	3109
76	257	3082
77	258	3054
78	259	3026
79	260	3000
80	262	2974
81	263	2949
82	264	2925
83	266	2901
84	267	2877
85	268	2855
86	269	2833
87	271	2810
88	274	2814
89	276	2794
90	277	2773
91	278	2752
92	280	2732
93	281	2713
94	282	2695
95	284	2676
96	285	2657
97	285	2631
98	287	2618
99	289	2609
100	291	2592
101	292	2575
102	293	2558
103	295	2541
104	296	2526
105	297	2510
106	298	2494
107	300	2479
108	301	2464
109	304	2460
110	305	2445
111	306	2430
112	307	2416
113	309	2403
114	311	2394
115	312	2380
116	313	2367
117	314	2354
118	316	2341
119	318	2338
120	320	2325
121	321	2314
122	322	2301
123	324	2290
124	325	2278
125	326	2267
126	328	2255
127	329	2242
128	330	2230
129	332	2221
130	333	2215
131	335	2204
132	336	2194
133	337	2183
134	339	2174
135	340	2163
136	341	2154
137	343	2144
138	344	2135
139	345	2125
140	348	2124
141	350	2115
142	351	2106
143	352	2097
144	354	2088
145	355	2078
146	356	2069
147	357	2060
148	358	2048
149	359	2039
150	361	2031
151	363	2028
152	364	2019
153	366	2011
154	367	2004
155	369	1997
156	371	1993
157	372	1986
158	375	1984
159	377	1983
160	379	1975
161	380	1968
162	381	1960
163	383	1952
164	384	1945
165	385	1937
166	386	1930
167	388	1922
168	389	1915
169	390	1908
170	392	1902
171	393	1895
172	395	1888
173	396	1881
174	402	1897
175	403	1890
176	407	1896
177	409	1889
178	410	1882
179	412	1877
180	413	1870
181	414	1864
182	416	1859
183	417	1853
184	419	1846
185	423	1855
186	425	1849
187	426	1843
188	428	1837
189	430	1833
190	431	1829
191	433	1823
192	434	1817
193	438	1822
194	440	1816
195	441	1810
196	442	1803
197	443	1797
198	445	1791
199	446	1785
200	448	1781
201	449	1777
202	452	1778
203	454	1772
204	455	1766
205	456	1759
206	457	1753
207	459	1748
208	460	1742
209	462	1738
210	463	1732
211	464	1728
212	467	1728
213	469	1722
214	470	1717
215	471	1711
216	472	1706
217	473	1699
218	474	1693
219	476	1688
220	478	1685
221	479	1681
222	482	1681
223	484	1676
224	485	1672
225	486	1667
226	488	1664
227	490	1659
228	491	1656
229	493	1652
230	496	1652
231	497	1647
232	498	1642
233	500	1637
234	501	1632
235	502	1628
236	504	1623
237	505	1619
238	507	1615
239	512	1622
240	515	1624
241	520	1629
242	521	1625
243	523	1620
244	524	1616
245	529	1621
246	530	1616
247	533	1617
248	534	1612
249	536	1608
250	537	1603
251	538	1598
252	539	1594
253	545	1601
254	546	1596
255	547	1592
256	548	1587
257	550	1582
258	551	1577
259	552	1573
260	554	1569
261	555	1564
262	559	1569
263	561	1564
264	562	1560
265	563	1555
266	565	1551
267	566	1547
268	567	1543
269	569	1539
270	570	1534
271	574	1538
272	575	1533
273	577	1529
274	578	1524
275	579	1521
276	581	1517
277	582	1513
278	584	1509
279	585	1505
280	589	1507
281	590	1503
282	591	1499
283	593	1496
284	594	1492
285	596	1489
286	597	1485
287	599	1480
288	600	1476
289	604	1480
290	605	1476
291	607	1472
292	608	1468
293	609	1464
294	611	1460
295	612	1456
296	613	1452
297	615	1448
298	619	1452
299	620	1448
300	622	1445
301	623	1441
302	624	1437
303	626	1433
304	627	1430
305	628	1426
306	630	1422
307	634	1426
308	636	1422
309	637	1418
310	638	1415
311	640	1411
312	641	1407
313	642	1403
314	643	1400
315	645	1396
316	649	1398
317	650	1395
318	652	1391
319	653	1388
320	654	1384
321	655	1381
322	657	1377
323	658	1373
324	659	1370
325	660	1366
326	662	1363
327	663	1360
328	665	1356
329	666	1353
330	667	1349
331	669	1346
332	670	1342
333	671	1339
334	672	1335
335	676	1337
336	677	1333
337	679	1330
338	680	1326
339	681	1323
340	682	1319
341	684	1316
342	685	1312
343	686	1309
344	687	1305
345	691	1306
346	692	1303
347	693	1300
348	695	1296
349	696	1293
350	697	1289
351	698	1286
352	700	1283
353	701	1280
354	702	1276
355	706	1278
356	707	1275
357	709	1271
358	710	1268
359	711	1265
360	713	1262
361	714	1259
362	715	1256
363	717	1252
364	718	1249
365	719	1247
366	721	1244
367	722	1241
368	723	1237
369	725	1234
370	726	1231
371	727	1228
372	728	1225
373	730	1221
374	734	1223
375	735	1220
376	736	1217
377	738	1214
378	739	1211
379	740	1208
380	742	1205
381	743	1202
382	744	1199
383	749	1201
384	750	1199
385	752	1196
386	753	1193
387	754	1190
388	756	1187
389	757	1184
390	758	1181
391	759	1178
392	763	1179
393	764	1176
394	766	1173
395	767	1170
396	768	1167
397	769	1164
398	770	1160
399	771	1157
400	773	1155
401	774	1152
402	775	1149
403	777	1147
404	778	1144
405	780	1141
406	781	1138
407	782	1135
408	783	1132
409	784	1129
410	786	1126
411	787	1124
412	789	1121
413	790	1119
414	792	1116
415	793	1114
416	794	1111
417	796	1108
418	797	1106
419	799	1104
420	800	1101
421	802	1098
422	806	1099
423	807	1097
424	808	1094
425	810	1091
426	811	1088
427	812	1086
428	813	1083
429	815	1080
430	816	1077
431	820	1078
432	821	1075
433	822	1073
434	824	1070
435	825	1067
436	826	1064
437	827	1062
438	829	1059
439	830	1056
440	831	1054
441	835	1054
442	836	1052
443	837	1049
444	839	1046
445	840	1044
446	842	1041
447	843	1039
448	844	1036
449	845	1033
450	846	1031
451	850	1030
452	851	1028
453	852	1025
454	853	1022
455	854	1019
456	855	1016
457	856	1013
458	858	1011
459	859	1008
460	860	1005
461	861	1002
462	863	1002
463	865	999
464	866	997
465	867	994
466	868	991
467	869	988
468	870	986
469	872	983
470	873	981
471	875	978
472	876	976
473	883	980
474	884	977
475	886	976
476	888	973
477	889	971
478	890	969
479	893	967
480	894	965
481	895	962
482	896	959
483	897	957
484	898	954
485	899	951
486	900	948
487	902	946
488	903	943
489	904	940
490	905	938
491	908	938
492	910	936
493	911	933
494	912	931
495	913	928
496	915	926
497	916	923
498	917	921
499	918	918
500	919	915
501	920	913
502	922	911
503	923	908
504	924	906
505	925	903
506	927	901
507	928	899
508	929	896
509	930	893
510	931	891
511	932	888
512	936	888
513	937	886
514	938	883
515	939	881
516	940	878
517	941	876
518	942	873
519	943	871
520	945	868
521	946	866
522	947	863
523	948	861
524	952	861
525	953	858
526	954	856
527	955	853
528	956	851
529	957	849
530	958	846
531	960	844
532	961	842
533	962	840
534	966	840
535	968	838
536	969	836
537	971	834
538	973	832
539	974	830
540	977	829
541	984	831
542	985	829
543	987	827
544	988	825
545	989	823
546	991	820
547	992	818
548	993	815
549	996	815
550	997	813
551	999	810
552	999	808
553	1001	805
554	1002	803
555	1003	801
556	1004	798
557	1005	796
558	1006	793
559	1007	791
560	1008	789
561	1012	789
562	1013	787
563	1014	784
564	1015	782
565	1017	779
566	1018	777
567	1019	775
568	1020	772
569	1021	770
570	1023	768
571	1027	769
572	1029	766
573	1030	764
574	1031	762
575	1032	759
576	1033	757
577	1034	755
578	1036	753
579	1038	751
580	1042	751
581	1044	749
582	1045	748
583	1047	746
584	1049	744
585	1050	742
586	1051	740
587	1052	737
588	1056	737
589	1057	735
590	1060	733
591	1062	732
592	1064	730
593	1065	728
594	1068	727
595	1074	728
596	1076	726
597	1078	725
598	1081	723
599	1082	721
600	1084	720
601	1089	719
602	1090	717
603	1092	716
604	1094	714
605	1096	712
606	1097	710
607	1099	708
608	1104	708
609	1107	708
610	1109	706
611	1111	704
612	1113	703
613	1115	701
614	1119	700
615	1121	699
616	1123	697
617	1126	696
618	1127	694
619	1129	692
620	1130	689
621	1138	691
622	1140	689
623	1141	688
624	1143	686
625	1145	684
626	1146	681
627	1148	680
628	1149	677
629	1150	675
630	1152	673
631	1153	671
632	1154	669
633	1156	667
634	1157	665
635	1158	663
636	1163	662
637	1164	660
638	1165	658
639	1167	656
640	1168	654
641	1170	652
642	1171	650
643	1172	648
644	1173	645
645	1177	645
646	1179	643
647	1180	641
648	1182	639
649	1184	638
650	1186	635
651	1187	633
652	1188	631
653	1194	631
654	1196	630
655	1197	628
656	1199	626
657	1201	624
